ds,y
2020-12-13,384188
2020-12-14,390102
2020-12-15,395258
2020-12-16,400073
2020-12-17,404458
2020-12-18,408797
2020-12-19,411472
2020-12-20,413419
2020-12-21,419047
2020-12-22,423648
2020-12-23,428119
2020-12-24,431166
2020-12-25,432887
2020-12-26,435243
2020-12-27,437357
2020-12-28,442387
2020-12-29,446844
2020-12-30,451048
2020-12-31,454101
2021-01-01,455778
2021-01-02,458490
2021-01-03,460696
2021-01-04,465967
2021-01-05,470109
2021-01-06,473384
2021-01-07,475597
2021-01-08,475604
